country,city,address_store,phone_store,firstname_customer,lastname_customer,payment_customer,firstname_staff,lastname_staff,title_film,description_film,language,category,firstname_actor,lastname_actor
"United States",Salinas,"920 Kumbakonam Loop",685010736240,CASSANDRA,WALTERS,2.99,Jon,Stephens,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",English,Documentary,NICK,WAHLBERG
"United States",Salinas,"920 Kumbakonam Loop",685010736240,CASSANDRA,WALTERS,2.99,Jon,Stephens,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",English,Documentary,BOB,FAWCETT
"United States",Salinas,"920 Kumbakonam Loop",685010736240,CASSANDRA,WALTERS,2.99,Jon,Stephens,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",English,Documentary,CAMERON,STREEP
"United States",Salinas,"920 Kumbakonam Loop",685010736240,CASSANDRA,WALTERS,2.99,Jon,Stephens,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",English,Documentary,RAY,JOHANSSON
"United States",Salinas,"920 Kumbakonam Loop",685010736240,CASSANDRA,WALTERS,2.99,Jon,Stephens,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",English,Documentary,JULIANNE,DENCH
"United States","Citrus Heights","770 Bydgoszcz Avenue",517338314235,BETTY,WHITE,6.99,Jon,Stephens,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",English,Foreign,KIRSTEN,PALTROW
"United States","Citrus Heights","770 Bydgoszcz Avenue",517338314235,BETTY,WHITE,6.99,Jon,Stephens,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",English,Foreign,SANDRA,KILMER
"United States","Citrus Heights","770 Bydgoszcz Avenue",517338314235,BETTY,WHITE,6.99,Jon,Stephens,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",English,Foreign,JAYNE,NEESON
"United States","Citrus Heights","770 Bydgoszcz Avenue",517338314235,BETTY,WHITE,6.99,Jon,Stephens,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",English,Foreign,WARREN,NOLTE
"United States","Citrus Heights","770 Bydgoszcz Avenue",517338314235,BETTY,WHITE,6.99,Jon,Stephens,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",English,Foreign,MORGAN,WILLIAMS
